140: Wiseman2 couldn't take right fork, now waiting
141: Wiseman2 couldn't take right fork, now waiting
142: Wiseman2 couldn't take right fork, now waiting
143: Wiseman2 couldn't take right fork, now waiting
144: Wiseman2 couldn't take right fork, now waiting
145: Wiseman2 couldn't take right fork, now waiting
146: Wiseman2 couldn't take right fork, now waiting
147: Wiseman2 couldn't take right fork, now waiting
148: Wiseman2 couldn't take right fork, now waiting
149: Wiseman2 couldn't take right fork, now waiting
150: Wiseman2 couldn't take right fork, now waiting
151: Wiseman2 couldn't take right fork, now waiting
152: Wiseman2 couldn't take right fork, now waiting
153: Wiseman2 couldn't take right fork, now waiting
154: Wiseman2 couldn't take right fork, now waiting
155: Wiseman2 couldn't take right fork, now waiting
156: Wiseman2 couldn't take right fork, now waiting
157: Wiseman2 couldn't take right fork, now waiting
158: Wiseman2 couldn't take right fork, now waiting
159: Wiseman2 couldn't take right fork, now waiting
160: Wiseman2 couldn't take right fork, now waiting
161: Wiseman2 couldn't take right fork, now waiting
162: Wiseman2 couldn't take right fork, now waiting
163: Wiseman2 couldn't take right fork, now waiting
164: Wiseman2 couldn't take right fork, now waiting
165: Wiseman2 couldn't take right fork, now waiting
166: Wiseman2 couldn't take right fork, now waiting
167: Wiseman2 couldn't take right fork, now waiting
168: Wiseman2 couldn't take right fork, now waiting
169: Wiseman2 couldn't take right fork, now waiting
170: Wiseman2 couldn't take right fork, now waiting
171: Wiseman2 couldn't take right fork, now waiting
172: Wiseman2 couldn't take right fork, now waiting
173: Wiseman2 couldn't take right fork, now waiting
174: Wiseman2 couldn't take right fork, now waiting
175: Wiseman2 couldn't take right fork, now waiting
176: Wiseman2 couldn't take right fork, now waiting
177: Wiseman2 couldn't take right fork, now waiting
178: Wiseman2 couldn't take right fork, now waiting
179: Wiseman2 couldn't take right fork, now waiting
180: Wiseman2 couldn't take right fork, now waiting
181: Wiseman2 couldn't take right fork, now waiting
182: Wiseman2 couldn't take right fork, now waiting
183: Wiseman2 couldn't take right fork, now waiting
184: Wiseman2 couldn't take right fork, now waiting
185: Wiseman2 couldn't take right fork, now waiting
186: Wiseman2 couldn't take right fork, now waiting
187: Wiseman2 couldn't take right fork, now waiting
188: Wiseman2 couldn't take right fork, now waiting
189: Wiseman2 couldn't take right fork, now waiting
190: Wiseman2 couldn't take right fork, now waiting
191: Wiseman2 couldn't take right fork, now waiting
192: Wiseman2 couldn't take right fork, now waiting
193: Wiseman2 couldn't take right fork, now waiting
194: Wiseman2 couldn't take right fork, now waiting
195: Wiseman2 couldn't take right fork, now waiting
196: Wiseman2 couldn't take right fork, now waiting
197: Wiseman2 couldn't take right fork, now waiting
198: Wiseman2 couldn't take right fork, now waiting
199: Wiseman2 couldn't take right fork, now waiting
200: Wiseman2 couldn't take right fork, now waiting
201: Wiseman2 couldn't take right fork, now waiting
202: Wiseman2 couldn't take right fork, now waiting
203: Wiseman2 couldn't take right fork, now waiting
204: Wiseman2 couldn't take right fork, now waiting
205: Wiseman2 couldn't take right fork, now waiting
206: Wiseman2 couldn't take right fork, now waiting
207: Wiseman2 couldn't take right fork, now waiting
208: Wiseman2 couldn't take right fork, now waiting
