1: Wiseman4 is thinking
2: Wiseman4 is thinking
3: Wiseman4 is thinking
4: Wiseman4 is thinking
5: Wiseman4 is thinking
6: Wiseman4 is thinking
7: Wiseman4 is thinking
8: Wiseman4 is thinking
9: Wiseman4 is thinking
143: Wiseman4 couldn't take right fork, now waiting
144: Wiseman4 couldn't take right fork, now waiting
145: Wiseman4 couldn't take right fork, now waiting
146: Wiseman4 couldn't take right fork, now waiting
147: Wiseman4 couldn't take right fork, now waiting
148: Wiseman4 couldn't take right fork, now waiting
149: Wiseman4 couldn't take right fork, now waiting
150: Wiseman4 couldn't take right fork, now waiting
151: Wiseman4 couldn't take right fork, now waiting
152: Wiseman4 couldn't take right fork, now waiting
153: Wiseman4 couldn't take right fork, now waiting
154: Wiseman4 couldn't take right fork, now waiting
155: Wiseman4 couldn't take right fork, now waiting
156: Wiseman4 couldn't take right fork, now waiting
157: Wiseman4 couldn't take right fork, now waiting
158: Wiseman4 couldn't take right fork, now waiting
159: Wiseman4 couldn't take right fork, now waiting
160: Wiseman4 couldn't take right fork, now waiting
161: Wiseman4 couldn't take right fork, now waiting
162: Wiseman4 couldn't take right fork, now waiting
163: Wiseman4 couldn't take right fork, now waiting
164: Wiseman4 couldn't take right fork, now waiting
165: Wiseman4 couldn't take right fork, now waiting
166: Wiseman4 couldn't take right fork, now waiting
167: Wiseman4 couldn't take right fork, now waiting
168: Wiseman4 couldn't take right fork, now waiting
169: Wiseman4 couldn't take right fork, now waiting
170: Wiseman4 couldn't take right fork, now waiting
171: Wiseman4 couldn't take right fork, now waiting
172: Wiseman4 couldn't take right fork, now waiting
173: Wiseman4 couldn't take right fork, now waiting
174: Wiseman4 couldn't take right fork, now waiting
175: Wiseman4 couldn't take right fork, now waiting
176: Wiseman4 couldn't take right fork, now waiting
177: Wiseman4 couldn't take right fork, now waiting
178: Wiseman4 couldn't take right fork, now waiting
179: Wiseman4 couldn't take right fork, now waiting
180: Wiseman4 couldn't take right fork, now waiting
181: Wiseman4 couldn't take right fork, now waiting
182: Wiseman4 couldn't take right fork, now waiting
183: Wiseman4 couldn't take right fork, now waiting
184: Wiseman4 couldn't take right fork, now waiting
185: Wiseman4 couldn't take right fork, now waiting
186: Wiseman4 couldn't take right fork, now waiting
187: Wiseman4 couldn't take right fork, now waiting
188: Wiseman4 couldn't take right fork, now waiting
189: Wiseman4 couldn't take right fork, now waiting
190: Wiseman4 couldn't take right fork, now waiting
191: Wiseman4 couldn't take right fork, now waiting
192: Wiseman4 couldn't take right fork, now waiting
193: Wiseman4 couldn't take right fork, now waiting
194: Wiseman4 couldn't take right fork, now waiting
195: Wiseman4 couldn't take right fork, now waiting
196: Wiseman4 couldn't take right fork, now waiting
197: Wiseman4 couldn't take right fork, now waiting
198: Wiseman4 couldn't take right fork, now waiting
199: Wiseman4 couldn't take right fork, now waiting
200: Wiseman4 couldn't take right fork, now waiting
201: Wiseman4 couldn't take right fork, now waiting
202: Wiseman4 couldn't take right fork, now waiting
203: Wiseman4 couldn't take right fork, now waiting
204: Wiseman4 couldn't take right fork, now waiting
205: Wiseman4 couldn't take right fork, now waiting
206: Wiseman4 couldn't take right fork, now waiting
207: Wiseman4 couldn't take right fork, now waiting
208: Wiseman4 couldn't take right fork, now waiting
209: Wiseman4 couldn't take right fork, now waiting
210: Wiseman4 couldn't take right fork, now waiting
211: Wiseman4 couldn't take right fork, now waiting
212: Wiseman4 couldn't take right fork, now waiting
213: Wiseman4 couldn't take right fork, now waiting
214: Wiseman4 couldn't take right fork, now waiting
215: Wiseman4 couldn't take right fork, now waiting
216: Wiseman4 couldn't take right fork, now waiting
217: Wiseman4 couldn't take right fork, now waiting
218: Wiseman4 couldn't take right fork, now waiting
219: Wiseman4 couldn't take right fork, now waiting
220: Wiseman4 couldn't take right fork, now waiting
221: Wiseman4 couldn't take right fork, now waiting
222: Wiseman4 couldn't take right fork, now waiting
223: Wiseman4 couldn't take right fork, now waiting
224: Wiseman4 couldn't take right fork, now waiting
225: Wiseman4 couldn't take right fork, now waiting
